134,138,102,189,29,192,164,94,19,190
17,127,165,149,154,16,67,76,130,185
197,116,118,111,162,117,24,58,108,100
97,82,64,147,169,143,21,51,93,183
114,63,197,116,118,111,162,117,108,161
17,127,154,16,67,76,146,33,43,51
105,129,135,93,193,36,128,21,143,43
187,62,45,146,76,67,16,154,127,17
116,118,78,159,122,197,63,117,108,120
166,2,115,198,97,82,129,135,93,51
16,67,160,132,75,88,155,12,31,169
156,31,169,21,51,135,64,82,97,13
142,70,9,52,119,34,81,102,138,172
47,124,182,98,169,147,181,180,195,123
67,76,146,89,130,139,65,186,160,132
102,81,87,185,130,89,146,76,101,62
112,189,102,81,87,185,130,76,146,62
200,45,146,33,43,51,21,143,169,147
129,82,64,135,51,43,143,21,169,103
185,130,89,146,33,43,143,21,51,36
104,170,70,9,52,119,194,40,4,134
132,160,186,65,139,130,89,146,33,43
101,76,146,89,130,139,65,186,150,7
104,170,70,9,52,119,194,40,4,134
112,189,29,192,164,122,197,116,118,78
161,58,108,100,28,30,1,106,62,45
85,199,25,44,137,109,73,168,2,166
187,62,45,146,76,67,160,186,65,38
3,166,2,168,73,109,199,25,44,137
184,46,145,37,11,144,131,123,180,181
