81,124,164,183,136,196,12,177,38,84,123,7,80,193,27
127,80,7,123,38,177,12,183,124,192,31,97,166,136,81
176,63,170,49,212,135,74,46,175,44,204,140,209,206,202
3,14,130,140,209,152,190,187,39,155,163,126,45,122,0
103,69,109,62,117,13,158,5,75,188,136,183,38,84,159
128,165,63,170,203,175,46,143,72,44,204,140,209,130,101
182,48,114,181,101,130,209,206,2,39,152,190,155,122,187
139,30,120,100,198,57,81,136,196,12,183,164,80,7,178
162,148,169,106,182,48,114,101,130,209,152,190,187,122,163
178,127,80,164,110,186,124,81,136,183,38,84,133,159,25
99,165,63,170,49,203,175,44,204,140,209,152,190,39,2
91,107,35,97,31,192,124,186,110,164,183,38,123,84,159
120,100,198,57,81,136,183,196,12,177,84,159,133,149,194
71,118,184,55,189,96,181,101,130,140,209,152,190,187,122
33,105,143,72,211,132,157,1,68,205,182,48,114,181,101
86,163,187,122,155,39,190,152,209,140,204,44,33,72,143
20,68,205,182,106,101,130,140,209,152,39,187,155,190,2
98,95,209,152,146,2,39,190,187,122,163,93,45,126,141
190,39,152,146,2,206,209,130,140,204,44,143,105,33,76
5,158,13,117,62,28,206,209,130,101,181,114,106,182,48
132,211,72,33,105,143,46,98,95,209,140,130,101,181,96
156,62,117,13,158,179,188,136,183,12,177,84,133,159,25
71,118,189,83,90,87,14,130,140,209,206,28,62,109,69
16,65,41,111,198,57,81,192,31,166,188,136,196,12,150
159,133,84,177,12,150,11,88,196,183,136,166,97,31,153
12,177,38,183,196,136,188,158,13,117,62,109,69,103,151
18,187,39,152,146,2,206,209,95,98,46,74,143,33,105
22,168,97,35,179,188,136,183,12,177,84,123,7,178,191
145,126,45,93,122,187,155,190,152,209,140,204,44,143,46
165,63,170,203,175,44,204,140,209,95,98,46,143,105,33
