81,136,183,196,12,177,84,123,194,121,178,7,80,164,124,192,31,97,179,158
157,1,68,144,148,169,106,114,181,101,130,209,206,202,151,103,69,109,62,117
127,80,164,183,136,188,158,13,117,62,109,107,35,97,166,31,192,124,81,57
47,143,44,33,72,211,213,157,1,68,144,148,169,106,114,181,101,130,209,206
176,63,165,23,30,100,198,57,81,136,183,196,12,177,84,123,194,149,133,159
188,136,183,196,12,177,84,123,194,121,178,7,80,164,124,81,192,31,97,179
3,14,130,209,206,202,151,103,69,109,62,117,13,158,188,136,183,196,12,177
168,97,179,158,188,136,183,196,12,177,84,123,194,121,178,7,80,164,124,81
103,151,202,206,209,130,101,106,114,181,96,189,83,67,82,174,71,118,184,55
18,187,163,122,155,190,39,152,209,206,202,151,103,69,109,62,117,13,158,188
128,165,23,30,100,198,57,81,136,183,196,12,177,84,123,194,149,133,159,25
60,136,183,196,12,177,84,123,194,121,178,7,80,164,124,81,192,31,97,179
182,106,114,181,101,130,209,206,202,151,103,69,109,62,117,13,158,188,136,183
7,80,164,183,136,188,158,13,117,62,109,107,35,97,166,31,192,124,81,57
139,30,100,198,57,81,136,183,196,12,177,84,123,194,121,178,7,80,164,124
145,126,163,122,155,190,39,152,209,206,202,151,103,69,109,62,117,13,158,188
162,106,114,181,101,130,209,206,202,151,103,69,109,62,117,13,158,188,136,183
24,111,198,100,30,23,165,63,170,49,212,203,175,46,143,44,33,72,211,213
178,7,80,164,183,136,188,158,13,117,62,109,107,35,97,166,31,192,124,81
128,165,23,30,100,198,57,81,136,183,196,12,177,84,123,194,149,133,159,25
99,165,23,30,100,198,57,81,136,183,196,12,177,84,123,194,149,133,159,25
37,53,161,142,59,112,40,85,160,75,188,136,183,196,12,177,84,123,194,149
91,107,109,62,117,13,158,188,136,183,196,12,177,84,123,194,149,133,159,25
161,53,137,142,59,112,40,85,160,75,188,136,183,196,12,177,84,123,194,149
120,30,100,198,57,81,136,183,196,12,177,84,123,194,121,178,7,80,164,124
111,198,100,30,23,165,63,170,49,212,203,175,46,143,44,33,72,211,213,157
71,118,189,83,90,87,14,130,209,206,202,151,103,69,109,62,117,13,158,188
39,190,152,209,206,202,151,103,69,109,62,117,13,158,188,136,183,196,12,177
33,143,44,46,74,135,212,203,170,63,165,23,30,100,198,41,111,43,115,56
158,188,136,183,196,12,177,84,123,194,121,178,7,80,164,124,81,192,31,97
